name,mass,fall,year,reclat,reclong
Alessandria,908,Fell,1860,44.88333,8.75
Sologne,54,Fell,1860,47.36667,1.73333
Lutschaunig's Stone,100000,Found,1861,-27,-70
Vaca Muerta,3828000,Found,1861,-25.75,-70.5
Butsura,29000,Fell,1861,27.08333,84.08333
Meerut,22,Fell,1861,29.01667,77.8
Cañellas,945,Fell,1861,41.25,1.66667
Grosnaja,3500,Fell,1861,43.66667,45.38333
Sevilla,180,Fell,1862,37.41667,-6
Kokomo,1800,Found,1862,40.48333,-86.36667
Menow,10500,Fell,1862,53.18333,13.15
Wairarapa Valley,6000,Found,1863,-41.31667,175.13333
Copiapo,20000,Found,1863,-27.3,-70.4
Wabar,2550000,Found,1863,21.49972,50.47222
Manbhoom,1700,Fell,1863,23.05,86.7
Pulsora,560,Fell,1863,23.36667,75.18333
Shytal,3200,Fell,1863,24.33333,90.16667
Bacubirito,22000000,Found,1863,26.2,-107.83333
Smith's Mountain,5000,Found,1863,36.41667,-80
St. Francois County,3600,Found,1863,37.75,-90.5
Russel Gulch,13200,Found,1863,39.8,-105.5
Tomhannock Creek,1500,Found,1863,42.88333,-73.6
Buschhof,5000,Fell,1863,46.45,25.78333
Tourinnes-la-Grosse,14500,Fell,1863,50.78333,4.76667
Obernkirchen,41000,Found,1863,52.26667,9.1
Pillistfer,23250,Fell,1863,58.66667,25.73333
Tamentit,510000,Found,1864,27.71667,-0.25
Orgueil,14000,Fell,1864,43.88333,1.38333
Dolgovoli,1600,Fell,1864,50.75,25.3
Nerft,10250,Fell,1864,56.5,21.5
Muddoor,4400,Fell,1865,12.63333,77.01667
Gopalpur,1600,Fell,1865,24.23333,89.05
Shergotty,5000,Fell,1865,24.55,84.83333
Supuhee,7235,Fell,1865,26.71667,84.21667
Aumale,50000,Fell,1865,36.16667,3.66667
Dellys,76,Found,1865,36.91667,3.91667
Vernon County,1500,Fell,1865,43.5,-91.16667
Dundrum,2270,Fell,1865,52.55,-8.03333
Dehesa,280,Found,1866,-33.5,-70.5
Juncal,104000,Found,1866,-26,-69.25
Udipi,3600,Fell,1866,13.48333,74.78333
Jamkheir,22,Fell,1866,18.75,75.33333
Pokhra,350,Fell,1866,26.71667,82.66667
Sone,17100,Fell,1866,35.16667,135.33333
Frankfort (iron),10900,Found,1866,38.2,-84.83333
Bear Creek,227000,Found,1866,39.6,-105.3
Rushville,50,Found,1866,39.61667,-85.45
Cangas de Onis,34000,Fell,1866,43.38333,-5.15
St. Mesmin,8300,Fell,1866,48.45,3.93333
Knyahinya,500000,Fell,1866,48.9,22.4
Ballarat,15,Found,1867,-37.57083,143.82533
Cacaria,41400,Found,1867,24.5,-104.8
Khetri,100,Fell,1867,28.01667,75.81667
Casas Grandes,1545000,Found,1867,30.4,-107.8
Auburn,3630,Found,1867,32.63333,-85.5
Tadjera,9000,Fell,1867,36.18333,5.41667
Scottsville,10000,Found,1867,36.76667,-86.16667
Otomi,6510,Fell,1867,38.4,140.35
Pevensey,4300,Found,1868,-34.78333,144.66667
Daniel's Kuil,1064,Fell,1868,-28.2,24.56667
Pnompehn,96,Fell,1868,11.58333,104.91667
San Francisco del Mezquital,7500,Found,1868,23.48333,-104.36667
Goalpara,2700,Found,1868,26.16667,90.6
Moti-ka-nagla,1500,Fell,1868,26.83333,77.33333
Lodran,1000,Fell,1868,29.53333,71.8
Losttown,3000,Found,1868,34.25,-84.5
Danville,2000,Fell,1868,34.4,-87.06667
Frankfort (stone),650,Fell,1868,34.48333,-87.83333
Mount Vernon,159000,Found,1868,36.93333,-87.4
Sauguis,4000,Fell,1868,43.15,-0.85
Motta di Conti,9150,Fell,1868,45.2,8.5
Slavetic,1708,Fell,1868,45.68333,15.6
Ornans,6000,Fell,1868,47.11667,6.15
Pultusk,250000,Fell,1868,52.76667,21.26667
Caperr,113900,Found,1869,-45.28333,-70.48333
Angra dos Reis (stone),1500,Fell,1869,-22.96667,-44.31667
Tjabe,20000,Fell,1869,-7.08333,111.53333
Lumpkin,340,Fell,1869,32.03333,-84.76667
Staunton,43500,Found,1869,38.21667,-79.05
Shingle Springs,39000,Found,1869,38.66667,-120.93333
Salt Lake City,875,Found,1869,40.91667,-111.66667
Yorktown (New York),250,Fell,1869,41.28333,-73.81667
Kernouve,80000,Fell,1869,48.11667,-3.08333
Krähenberg,16500,Fell,1869,49.32694,7.46472
Iron Creek,175000,Found,1869,53,-112
Hessle,20000,Fell,1869,59.85,17.66667
Ilimaes (iron),51700,Found,1870,-26,-70
Nedagolla,4500,Fell,1870,18.68333,83.48333
McKinney,150000,Found,1870,33.18333,-96.71667
Cabezo de Mayo,25000,Fell,1870,37.98333,-1.16667
Cincinnati,1500,Found,1870,39.11667,-84.5
Ibbenbüren,2000,Fell,1870,52.28333,7.7
Iquique,12500,Found,1871,-20.18333,-69.73333
Bandong,11500,Fell,1871,-6.91667,107.6
Cuba,1500,Found,1871,22,-80
Roda,400,Fell,1871,42.3,0.55
Laborel,3833,Fell,1871,44.28333,5.58333
Searsmont,5400,Fell,1871,44.36667,-69.2
Oczeretna,130,Found,1871,49.31667,31.51667
Santa Apolonia,1316000,Found,1872,19.21667,-98.3
Dyalpur,300,Fell,1872,26.25,82
Orvinio,3400,Fell,1872,42.13333,12.93333
Lancé,51700,Fell,1872,47.7,1.06667
Nenntmannsdorf,12500,Found,1872,50.96667,13.95
Tennasilm,28500,Fell,1872,58.03333,26.95
Santa Barbara,400,Fell,1873,-29.2,-51.86667
Khairpur,13600,Fell,1873,29.53333,72.3
Jhung,5900,Fell,1873,31.3,72.38333
